start,end,today,audit,audit_URL,site,date,brief description of the parcel,parcel street address,lse_total_calc,total landuse should sum to 100,does the landscape appear well maintained?,is the landscape maintained professionally?,are there symptoms or signs of abiotic or biotic injury?,are the plants healthy and vigorous?,indicate visible signs of human cultivation,indicate visible signs of human cultivation/ground cover: open ground,indicate visible signs of human cultivation/ground cover: trees,indicate visible signs of human cultivation/ground cover: shrubs,indicate visible signs of human cultivation/ground cover: cacti or succulents,indicate visible signs of human cultivation/ground cover: lawn,indicate visible signs of human cultivation/ground cover: herbaceous ground cover,indicate visible signs of human cultivation/ground cover: other vegetation types,indicate visible signs of human added irrigation,indicate visible signs of human added irrigation/irrigation: hand water,indicate visible signs of human added irrigation/irrigation: drip water,indicate visible signs of human added irrigation/irrigation: overhead water,indicate visible signs of human added irrigation/irrigation: flood water,indicate visible signs of human added irrigation/irrigation: subterranean water,indicate visible signs of human added irrigation/irrigation: no water,indicate visible signs of human added irrigation/irrigation: pervious irrigation,indicate type of residence,approximate (perceived) social class of the neighborhood,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2023-04-27 14:32:30,2023-04-27 15:05:46,2023-04-27,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F973092fd-91a1-4b3d-8761-64162e226dc7%2Faudit.csv,AB19,2023-04-27,Residential home,97 N Honeysuckle Ln Gilbert AZ 85234 ,100,100,yes,do not know,yes,yes,ground cover: trees ground cover: shrubs ground cover: cacti or succulents ground cover: lawn,0,1,1,1,1,0,0,irrigation: drip water irrigation: hand water,1,1,0,0,0,0,0,single family,middle,234475997,973092fd-91a1-4b3d-8761-64162e226dc7,2023-04-27 23:50:48,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,1
2023-04-27 16:03:47,2023-04-27 16:17:51,2023-04-27,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F1ab0addb-eb28-4a03-9723-e2eb735e79fb%2Faudit.csv,Y19,2023-04-27,Residential home,1420 E Bayview Drive Tempe AZ 85283,100,100,yes,do not know,yes,yes,ground cover: trees ground cover: shrubs ground cover: cacti or succulents,0,1,1,1,0,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,middle,234476029,1ab0addb-eb28-4a03-9723-e2eb735e79fb,2023-04-27 23:51:08,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,2
2023-05-01 10:22:55,2023-05-01 10:32:58,2023-05-01,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F53b4d74d-5223-4a96-9a41-581c1db0f55e%2Faudit.csv,AE18,2023-05-01,Suburban retirement property with xeric landscape,"1121 S 81st Way, Mesa AZ 85208",100,100,yes,yes,no,yes,ground cover: shrubs ground cover: trees ground cover: cacti or succulents ground cover: open ground,1,1,1,1,0,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,middle,235173820,53b4d74d-5223-4a96-9a41-581c1db0f55e,2023-05-01 19:02:22,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,3
2023-05-08 14:13:24,2023-05-08 14:35:42,2023-05-08,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fb1219150-0fb4-43f4-aef1-4eb2582716d4%2Faudit.csv,V18,2023-05-08,Residential property ,"2428 E St Catherine Avenue, Phoenix AZ, 85042",100,100,yes,do not know,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: lawn,1,1,1,0,1,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,middle,236786628,b1219150-0fb4-43f4-aef1-4eb2582716d4,2023-05-08 22:53:00,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,4
2023-05-10 11:58:38,2023-05-10 12:39:39,2023-05-10,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F4004ccf1-a217-4199-b5f8-f5b113469e24%2Faudit.csv,Z21,2023-05-10,Older residential yard,"349 N. Vine St. Chandler, AZ 85225",100,100,yes,do not know,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: lawn,1,1,1,0,1,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,middle,237347876,4004ccf1-a217-4199-b5f8-f5b113469e24,2023-05-10 23:05:23,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,5
2023-05-11 10:37:09,2023-05-11 10:53:07,2023-05-11,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fa57f0291-a799-4cb1-acf3-3fa901d8eaa3%2Faudit.csv,N12,2023-05-11,Residential neighborhood,"15250 N 146th Lane, Surprise, AZ 85379",100,100,yes,do not know,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,middle,237622027,a57f0291-a799-4cb1-acf3-3fa901d8eaa3,2023-05-11 22:35:01,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,6
2023-05-16 10:26:36,2023-05-16 10:45:19,2023-05-16,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe4dd68f3-530e-41f3-8fa0-4e9ba7eb4855%2Faudit.csv,U12,2023-05-16,Residential neighborhood near park and church parking lot,"250 W. Betty Elyse Ln., Phoenix,  AZ 85023",100,100,yes,do not know,no,yes,ground cover: trees ground cover: shrubs ground cover: open ground ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: hand water irrigation: overhead water irrigation: drip water,1,1,1,0,0,0,0,single family,middle,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,7
2023-05-16 13:52:06,2023-05-16 14:12:39,2023-05-16,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8d2ca4bc-5d2c-4d22-812e-884daab8a565%2Faudit.csv,V12,2023-05-16,Gated residential neighborhood,"1918 E Marilyn Rd Phoenix, AZ 85022",100,100,yes,do not know,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: hand water irrigation: drip water,1,1,0,0,0,0,0,single family,rich,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,8
2023-05-17 13:32:26,2023-05-17 15:44:16,2023-05-17,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8ab36e7a-83a4-44ff-9ddf-b92585197086%2Faudit.csv,W15,2023-05-17,Semi desert residential neighborhood,"4115 E. Palo Verde Dr. Phoenix, AZ, 85018",100,100,yes,do not know,no,yes,ground cover: trees ground cover: shrubs ground cover: open ground ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: overhead water,0,0,1,0,0,0,0,single family,rich,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,9
2023-05-24 11:24:11,2023-05-24 11:34:43,2023-05-24,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe55b1f33-d754-47cb-9b3e-488fa2a99d51%2Faudit.csv,S12,2023-05-24,"One story house with two car garage, decently sized front and back yard containing pool","16010 N 48th Ave, Glendale, AZ 85306",100,100,no,no,yes,no,ground cover: open ground ground cover: trees ground cover: lawn ground cover: herbaceous ground cover,1,1,0,0,1,1,0,irrigation: drip water,0,1,0,0,0,0,0,single family,working_lower,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,10
2023-05-30 11:39:57,2023-05-30 11:55:58,2023-05-30,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F397f6eec-030c-464d-8b3b-f1894b139a03%2Faudit.csv,AF23,2023-05-30,House with a small farm and casita,22135,100,100,yes,no,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents ground cover: lawn,1,1,1,1,1,0,0,irrigation: flood water irrigation: overhead water irrigation: drip water,0,1,1,1,0,0,0,single family,middle,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,11
2023-05-30 14:19:53,2023-05-30 14:30:42,2023-05-30,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc7eb0f79-c32d-4889-ab73-adc928afb373%2Faudit.csv,AC22,2023-05-30,Two story single family home with medium property size ,"3047 E Athena Ave, Gilbert, AZ 85297",100,100,yes,yes,no,yes,ground cover: trees ground cover: shrubs ground cover: lawn,0,1,1,0,1,0,0,irrigation: drip water irrigation: overhead water,0,1,1,0,0,0,0,single family,rich,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,12
2023-05-31 11:56:54,2023-05-31 12:27:46,2023-05-31,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F2cc9131d-e76f-4c33-8f5e-5c4847aff003%2Faudit.csv,AE23,2023-05-31,Open suburban neighborhood bordering agriculture fields. One story home.,"21139 E Marsh Rd, Queen Creek, AZ 85142",100,100,yes,yes,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: drip water,0,1,0,0,0,0,0,single family,rich,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,13
2023-06-01 11:37:35,2023-06-01 12:36:22,2023-06-01,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc161652b-ec66-47cb-9a0f-b5f9cc72cc73%2Faudit.csv,AC20,2023-06-01,Residential neighborhood,"3159 E Silo Dr. Gilbert, AZ 85234",100,100,yes,yes,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents ground cover: lawn,1,1,1,1,1,0,0,irrigation: hand water irrigation: overhead water irrigation: drip water,1,1,1,0,0,0,0,single family,rich,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,14
2023-06-02 09:22:32,2023-06-02 09:46:35,2023-06-02,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F91b2b540-2c2a-434e-b276-edac9d26e10a%2Faudit.csv,AA21,2023-06-02,Suburban residence ,"897 E Glenmere Dr.  Chandler,  AZ 85225",100,100,yes,do not know,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: hand water irrigation: drip water irrigation: overhead water,1,1,1,0,0,0,0,single family,middle,243103424,91b2b540-2c2a-434e-b276-edac9d26e10a,2023-06-02 20:13:44,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,15
2023-06-06 08:43:39,2023-06-06 11:08:06,2023-06-06,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe6ab794b-31bc-4562-af96-5b7fe475d3e1%2Faudit.csv,AB17,2023-06-06,Suburban residential neighborhood,"3052 E Lockwood St. Mesa, AZ 85213",100,100,yes,no,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents,1,1,1,1,0,0,0,irrigation: hand water irrigation: drip water irrigation: overhead water,1,1,1,0,0,0,0,single family,middle,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,,16
2023-06-12 12:02:52,2023-06-12 12:18:26,2023-06-12,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F7b2d2d74-26a6-430a-8979-944b329b9f6f%2Faudit.csv,F19,2023-06-12,Acre lot with single family home off dirt road,"7906 S 303rd Ave, Buckeye, AZ 85326",100,100,yes,no,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: cacti or succulents ground cover: lawn ground cover: herbaceous ground cover,1,1,1,1,1,1,0,irrigation: hand water irrigation: drip water irrigation: overhead water,1,1,1,0,0,0,0,single family,working_lower,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,17
2023-06-16 09:12:04,2023-06-16 09:37:00,2023-06-16,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F33b25105-5501-4fc8-ad33-094734553056%2Faudit.csv,W18,2023-06-16,Large residential lot with mesic landscape at end of cul-de-sac ,"6408 S 39th Place, Phoenix AZ 85040",100,100,yes,yes,no,yes,ground cover: open ground ground cover: trees ground cover: shrubs ground cover: lawn ground cover: herbaceous ground cover,1,1,1,0,1,1,0,irrigation: hand water irrigation: drip water irrigation: overhead water,1,1,1,0,0,0,0,single family,rich,246489904,33b25105-5501-4fc8-ad33-094734553056,2023-06-16 20:35:38,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,,18
